"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"SQL Editor","Execute SQL-Chunk","⌥⌘↩","SQL Editor"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Window","Next Editor","⌘F6","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Views","Show View (Script Explorer)","⌥⌘Q P","JavaScript View"
"Window","Minimize","⌘M","In Windows"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Views","Show View (Declaration)","⌥⌘Q D","JavaScript View"
"Scala Editor","Run Scala Application","⇧⌥X S","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"File","New","⌘N","In Windows"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"WindowBuilder Pro","Empty command","⌥⌘A","WindowBuilder Java scope"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Window","Quick Access","⌘3","In Windows"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Text Editing","Text Start","↖","Editing Text"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"AnyEdit Tools","To Lower Case","⌃⌥L","Editing Text"
"Window","Close Dialog","⌘W","In Dialogs"
"Window","Next Perspective","⌘F8","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Refactor - Scala","Extract Local","⌥⌘L","Editing Scala Source"
"File","Print","⌘P","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Server","Stop","⌥⌘S","In Servers View"
"Search","Open Search Dialog","⌃H","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Task","New Local Task","⌥N","In Tasks View"
