"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Task","Mark Task Read","⇧⌥R","In Tasks View"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Run on Server","⇧⌥X R","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Task","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Task","New Subtask","⇧Insert","In Tasks View"
"File","Save","⌘S","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Views","Show View ()","⌥⌘Q J","JavaScript View"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Window","Next Perspective","⌘F8","In Windows"
"SQL Editor","Execute SQL-Chunk","⌥⌘↩","SQL Editor"
"WindowBuilder Pro","Switch between Source/Design Views","F12","Editing Text"
"Navigate","Go to Line","⌘L","Editing Text"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Edit","Select Previous Element","⇧⌃←","Editing Java Source"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Views","Show View (Hierarchy)","⌥⌘Q T","JavaScript View"
"AnyEdit Tools","Invert Case","⌃⌥I","Editing Text"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Project","Build All","⌘B","In Windows"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Text Editing","Text Start","⌘↖","Editing Text"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"AnyEdit Tools","To Upper Case","⌃⌥U","Editing Text"
"Search","File Search","⇧⌘F","In Dialogs and Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
